barName,phoneNumber,barLicense,bartenderID,State of Residence,
E[edit],(924) 289-8402,KWTdwvIgBmWrY,7329864544,MA,
The Vigilante — Citizen Smith,(924) 289-8402,FUnaI,2806820332,GA,
Shooters — Melrose Place,(331) 891-7914,cMYudMPX,7550365077,TN,
The Learned Goat — Bone Tomahawk,(223) 451-6214,WcwMNdMaoqOMTFnkd,0300447898,KS,
Bob's Country Bunker — The Blues Brothers,(460) 330-2674,dyYqHYWn,8240443958,CO,
The Siren — Gotham,(584) 288-2248,GEtCTQBuBxHjLGQ,1328702344,CO,
 Part 1 and Henry IV,(339) 382-8591,yvsxNzBUG,5880379195,NY,
Vesuvio — The Sopranos,(539) 216-4373,ImEcCSwpNBBjLuxzkQ,6852109542,UT,
Table Salt — Arrow,(924) 289-8402,PAasBYvBr,2310007963,ND,
The Foaming Flask — The Elder Scrolls IV: Oblivion,(231) 773-3676,isIlxQggMbzmyWDeS,9800932037,NY,
 episode "The Calm",(924) 289-8402,afDxrRGvwtyXePEgXeQ,2801779976,MN,
The Kebab & Calculator — The Young Ones (1982),(641) 932-8291,kJcaAxPMYjvHQnDIIe,7502226600,HI,
McGinty's — Frasier (Martin Crane's hangout after Duke's pub is closed down),(817) 225-3731,cMYudMPX,8103185549,AL,
 episode "Remains of the Day",(689) 942-6305,pdnra,2976096555,SC,
Rovers Return Inn — Coronation Street,(723) 313-3201,qLxhsiLTDCGrMCxNIFoJ,4245232979,AL,
Brady Pub — Days of Our Lives,(975) 933-3468,CidYnE,7890520870,CO,
Four Shields Tavern — The Elder Scrolls V: Skyrim,(828) 959-1289,dyYqHYWn,5158657204,NC,
The Bada Bing — The Sopranos,(787) 677-3966,MVJELwFUqogMx,5905736805,CO,
John McRory's Place — Leverage,(460) 660-9681,FTVpRPv,4281431559,OR,
 Cottington — Arthur Dent's local in The Hitchhiker's Guide to the Galaxy,(967) 682-9571,XRtnbKONdDCKGhO,1576794805,AZ,
 episode "The Beer is Always Greener",(902) 940-6870,GEtCTQBuBxHjLGQ,1483801936,MA,
The Dog in the Pond — Hollyoaks,(539) 951-9381,FCRyIZ,6251935000,AK,
C[edit],(851) 705-8483,GepHphxGkVGmYJ,1501701003,MO,
Deville — Arrow,(979) 514-5679,XRtnbKONdDCKGhO,4034435107,AK,
Maxwell's Nightclub (Metropolis) — Smallville,(979) 514-5679,WcwMNdMaoqOMTFnkd,9867231849,AZ,
 episode "Charade",(622) 351-6088,qLxhsiLTDCGrMCxNIFoJ,9917414273,WV,
 the bar downstairs from Nate's apartment,(321) 556-9661,VLoofM,7612592374,MO,
Pedro McKinnon — Scottish-Mexican fusion restaurant in How I Met Your Mother,(818) 332-1000,GuAMjsGVN,6102540241,CT,
Cocktails and Dreams — Cocktail (1988),(232) 338-3323,aUUUnZbWGQXgqa,5210713434,TN,
Romanoff's — The Little Sister by Raymond Chandler,(560) 778-2982,KprmPIOxea,1937683379,AZ,
The Whippet Inn — Carry On at Your Convenience,(622) 351-6088,GuAMjsGVN,9827036743,KS,
Moe's Tavern — The Simpsons,(573) 231-2744,SRuKBSBp,8263597467,AR,
Salieri's Bar — Mafia: The City of Lost Heaven,(979) 514-5679,mQKBM,3660453633,MO,
Cocktails and Dreams — Cocktail (1988),(482) 523-1438,ZlTKonSjwG,5838685818,VA,
C[edit],(825) 805-7288,vVjjt,9913018292,MN,
Dog And Duck — No Angels (2004-2006),(687) 952-8834,EXsxJQS,4515718582,MO,
 episode "Sunrise",(756) 914-1573,RLukQlrxksjRjaYQjoZz,3022272064,WV,
Four Shields Tavern — The Elder Scrolls V: Skyrim,(967) 682-9571,cyBAsWWMXXvUDdt,6508248209,MT,
 HP7 0DJ,(979) 514-5679,GtAhsVIaRzrFpRdFyKu,6282044087,CT,
Snakehole Lounge — Parks and Recreation,(872) 487-4928,vVjjt,8702567717,AZ,
The Fiesty Goat Pub — Eurotrip,(769) 400-2541,DkgnmDV,0642956511,TN,
Seagrass — Arrow,(332) 815-7645,siiWmYqPTHuJwxoP,7342677953,FL,
Chez Quis — Ferris Bueller's Day Off,(407) 486-9848,KPFgmVWDzrQOv,9664315204,HI,
 episode "Two Parties",(687) 952-8834,KEenSyCXfojlJTr,9765249431,NE,
The Mucky Duck — Man About The House,(689) 942-6305,WXPCsQIopsQIHw,7680092127,AL,
Cooper's — King of Queens,(664) 905-7176,XRtnbKONdDCKGhO,9624711597,CO,
Sleeping Giant Inn — Skyrim,(288) 738-6276,cUngxdbxvBlCMrdn,5362311822,MD,
 Cottington — Arthur Dent's local in The Hitchhiker's Guide to the Galaxy,(408) 308-1637,mQKBM,7315713078,PA,
 in JRR Tolkien's The Lord of the Rings,(472) 299-8437,tUXtZFqgoabz,1689152910,MS,
Jack's Crocodile Bar -- "Where deals are made over a beer and a bite." -- "American Gods",(622) 351-6088,GuAMjsGVN,9652428943,AZ,
The Lost Lady Saloon — The Outlaw Josey Wales,(576) 833-3441,qFZyr,0999100585,ME,
Fitzgerald's — Ballykissangel,(560) 778-2982,hGaNlarkleHyZdogWymi,7933355087,MA,
The Winking Skeever — Skyrim (A skeever is a kind of large rat within the game.),(335) 720-9904,SRuKBSBp,8774320155,NE,
The Venusville Bar — Total Recall (1990),(802) 900-9835,YTXhp,9748974090,SC,
The Cap & Bell — Saloon Bar (1940),(976) 658-8811,MbPHymLleVRzlRyPxzp,8191099259,MI,
 on their 9th studio album Murder Ballads,(582) 640-5360,nPZeeNQPmHaswXYmQS,1891829404,MO,
McGinty's — Boondock Saints (1999),(339) 382-8591,DkgnmDV,2792419844,WY,
Moe's Tavern — The Simpsons,(502) 440-3222,VLoofM,2413431689,AZ,
Jenny's — Still Game,(573) 231-2744,PdosmDgiHf,8431279513,CO,
Charlie's — Neighbours,(687) 952-8834,hNfavOCVeivafVmk,4157077429,WV,
The Blue Oyster Bar — Police Academy franchise,(924) 289-8402,GepHphxGkVGmYJ,9796414283,UT,
The Broken Drum/The Mended Drum — Ankh-Morpork in Terry Pratchett's Discworld,(223) 451-6214,QsDhvI,1461434500,NV,
Porky's — Porky's,(723) 313-3201,dxCpjqqwUz,0830882713,WV,
 second novel in The Hitchhiker's Guide to the Galaxy series by Douglas Adams,(264) 539-9136,MVJELwFUqogMx,9928085095,GA,
Bunnys — The Young Doctors,(965) 764-4863,GGUvjYZmxSTgxhCa,3494110996,ND,
The Dog and Gun — Coronation Street,(331) 891-7914,BNHiZsYn,0174810442,AZ,
The Bull — The Archers,(788) 308-2578,JbEMvY,3638472012,ME,
The Foaming Flask — The Elder Scrolls IV: Oblivion,(722) 370-6001,GuAMjsGVN,3612055904,WV,
C[edit],(662) 829-2701,NdjjugTHnGG,6088039665,WY,
Dog And Duck — No Angels (2004-2006),(625) 465-1732,YtbUcQIVtbFRN,5026407780,VA,
 episode "Mixology Certification",(310) 376-9557,kJcaAxPMYjvHQnDIIe,5298440434,CA,
China Coast — Alias Nick Beal,(389) 877-7945,tVOfVLTQ,1606393777,NV,
 episode "The Lighthouse",(724) 868-8104,VxpLUTXUXt,1069307788,WV,
Corrado Italian Bistro — Arrow,(724) 868-8104,ciazPsbeywuBYM,1207122008,WV,
Candlehearth Hall — The Elder Scrolls V: Skyrim,(327) 687-6223,cMYudMPX,1747373568,AR,
The Rat in the Pot — The Elder Scrolls III: Morrowind,(707) 438-9674,yvsxNzBUG,2779428894,IL,
Rovers Return Inn — Coronation Street,(707) 438-9674,LgMkLnhFuAet,1921315904,AZ,
SaxonwoldShebeen — Saxonwold,(436) 324-8013,GHMrHDaeiC,9886761044,MO,
 in Peep Show,(355) 737-3285,mIJDLo,8451711904,CO,
 Hackney),(787) 677-3966,QsDhvI,8290396182,FL,
Flanahan's Hole — Community,(327) 687-6223,XQkoxDNpYnXfX,3861798189,NY,
MacLaren's Pub — How I Met Your Mother (2005),(662) 829-2701,WjpUBVYFy,5478403075,NY,
 a short 1958 sci-fi novel by Fritz Leiber,(502) 440-3222,GuAMjsGVN,2763166847,AZ,
Weatherfield Arms (known as the "Weathy Arms") — Coronation Street,(641) 932-8291,PdosmDgiHf,5522005515,MA,
 BBC radio series,(576) 833-3441,SGoCjsapEP,3487667685,ME,
 on his second album Don't Fight the Feelin',(310) 376-9557,NdjjugTHnGG,8839689147,AZ,
The Snug — Life on Mars (U.S. version),(902) 940-6870,MbPHymLleVRzlRyPxzp,9846048251,MA,
P3 — Charmed,(576) 833-3441,GGUvjYZmxSTgxhCa,0546696646,DE,
Munden's Bar — Grimjack (comic),(584) 288-2248,ciazPsbeywuBYM,7612592374,AK,
Jack Rabbit Slim's — Pulp Fiction,(264) 539-9136,PAasBYvBr,0580493431,UT,
The Venusville Bar — Total Recall (1990),(872) 487-4928,XQkoxDNpYnXfX,4242053150,FL,
Bunnys — The Young Doctors,(307) 875-2404,KprmPIOxea,7161708967,FL,
The Count's Arms — The Elder Scrolls IV: Oblivion,(307) 875-2404,dxCpjqqwUz,2513075018,DE,
The Thorax Bar (Society) — Gamer (2009),(902) 940-6870,GtAhsVIaRzrFpRdFyKu,8168490218,AK,
Broken Keel Tavern — World of Warcraft,(872) 487-4928,WcwMNdMaoqOMTFnkd,7886363001,AR,
 by J. Meade Faulkner,(976) 658-8811,iBaKq,1054878346,NY,
Essence — Parks and Recreation,(307) 875-2404,tUXtZFqgoabz,9333038794,UT,
Low Point — How I Met Your Mother,(972) 769-2769,QsDhvI,1410512811,MO,
 episode "Challenge Accepted",(924) 289-8402,WcwMNdMaoqOMTFnkd,7327843019,WV,
The Goat and Compasses — Dad's Army,(307) 875-2404,FCRyIZ,0865086355,MO,
The Pilgrim's Rest — The Elder Scrolls III: Morrowind,(426) 765-3084,tUXtZFqgoabz,4023850607,WV,
 episode "Two Parties",(625) 465-1732,diOKL,6340169837,MA,
West Weald Inn — The Elder Scrolls IV: Oblivion,(826) 664-5436,eeKcKFZpMOQTNty,9305203361,AL,
000 Streets Under the Sky by Patrick Hamilton,(828) 959-1289,ciazPsbeywuBYM,6044867238,CO,
The Malt Shovel — formerly the other pub in Emmerdale,(407) 486-9848,QsDhvI,7722445894,CA,
Mickey's — Hell on Wheels,(440) 321-3100,cJjtLirPRbzKXQTWfxc,5482668558,AZ,
The Rusty Anchor — The Golden Girls,(902) 940-6870,bNQVwc,7399734170,UT,
Scarlet Raven Tavern — World of Warcraft,(961) 439-6491,YtbUcQIVtbFRN,9261104913,CT,
Inn of the Last Home — Dragonlance,(223) 451-6214,XRtnbKONdDCKGhO,6091928147,LA,
 HP7 0DJ,(787) 677-3966,VxpLUTXUXt,6852620483,HI,
Mad Dog Saloon — Bill & Ted's Excellent Adventure,(830) 651-1296,ElstokWwsfuj,1692699441,ME,
The Last Resort — Total Recall (1990),(264) 539-9136,EIQnqBUjwIxS,3390544769,CT,
Kadie's Club Pecos — Sin City,(826) 664-5436,MVJELwFUqogMx,9752472752,MT,
The Mohune Arms — Moonfleet,(562) 507-7384,BNHiZsYn,4725975110,WY,
The Rusty Anchor — The Golden Girls,(310) 376-9557,MswgVNVjY,5058310076,WV,
 a series of neo-noir comics by Frank Miller,(843) 876-7257,ahAzaOlgzskYHm,1212456875,HI,
The Bada Bing — The Sopranos,(722) 370-6001,isIlxQggMbzmyWDeS,6000343872,CO,
Charlie's — Neighbours,(576) 833-3441,XRtnbKONdDCKGhO,3456915277,SC,
Foley's — Mrs. Brown's Boys,(603) 274-9446,ImEcCSwpNBBjLuxzkQ,9903896855,MO,
De Rossi's Wine Bar — Doctor Who,(724) 868-8104,hGaNlarkleHyZdogWymi,6251935000,VT,
Snakehole Lounge — Parks and Recreation,(560) 778-2982,lQEfrLg,3715438989,NH,
Daddy Crab Leg's Crab Shack — Saving Hope,(787) 677-3966,GtAhsVIaRzrFpRdFyKu,4222817178,WV,
The Broken Drum/The Mended Drum — Ankh-Morpork in Terry Pratchett's Discworld,(976) 658-8811,yvsxNzBUG,5767774247,RI,
The Kit Kat Klub — Cabaret,(250) 665-7321,hGaNlarkleHyZdogWymi,2546447534,MI,
The Peach Pit — Beverly Hills,(536) 610-7655,EIQnqBUjwIxS,9694170641,AR,
Dead Man's Drink — The Elder Scrolls V: Skyrim,(457) 701-7964,RLukQlrxksjRjaYQjoZz,7934963672,AR,
The Eolian - The Kingkiller Chronicle,(643) 327-3798,ElstokWwsfuj,3580385275,DC,
Jack's Crocodile Bar -- "Where deals are made over a beer and a bite." -- "American Gods",(769) 400-2541,qFZyr,3707978832,AR,
The Bee and Barb — The Elder Scrolls V: Skyrim,(902) 940-6870,cMYudMPX,7086521078,GA,
Moe's Tavern — The Simpsons,(307) 875-2404,ciazPsbeywuBYM,4679073267,GA,
Paddy's Pub — It's Always Sunny in Philadelphia,(826) 806-8072,cyBAsWWMXXvUDdt,0603927322,FL,
Merlotte's Bar and Grill — True Blood,(851) 705-8483,BNHiZsYn,7314608122,MA,
Levy's — Lady in the Lake and Trouble is My Business,(788) 308-2578,SRuKBSBp,8823409220,GA,
Thunderbrew Distillery — World of Warcraft,(972) 769-2769,MRnQNysKkV,3916650282,MO,
The Armada Room (at the Hilton Hotel) — where The Blues Brothers track down Murph & the Magic Tones,(722) 370-6001,mQKBM,0052483904,AR,
The Gold Room at the Overlook Hotel — The Shining by Stephen King and the 1980 film adaptation,(460) 330-2674,hNfavOCVeivafVmk,5665973218,NH,
The Armada Room (at the Hilton Hotel) — where The Blues Brothers track down Murph & the Magic Tones,(603) 274-9446,rFEMAicf,2071909908,GA,
 1976 song by Thin Lizzy,(687) 952-8834,CidYnE,5032388780,MO,
The Mohune Arms — Moonfleet,(711) 586-4308,heQJVn,9624711597,AZ,
The Tall Ship — River City,(264) 539-9136,tVOfVLTQ,2973866389,NY,
Charlie's — Harvey (1950),(287) 479-2490,vIXwFY,3031844483,CO,
Mr. Pubbs — Cheers,(828) 959-1289,mQKBM,1088128035,MS,
Cockatoo Inn — Jackie Brown (1997),(219) 941-6646,ciazPsbeywuBYM,9958494566,AL,
 in JRR Tolkien's The Lord of the Rings,(281) 658-1479,hGaNlarkleHyZdogWymi,0107334008,FL,
The Bloated Float Inn — The Elder Scrolls IV: Oblivion (an inn located within a converted ship that still sits on the water),(622) 286-1124,WjpUBVYFy,2671072501,MN,
