barLicense,customerID,
iBaKq,07986675,
JbEMvY,39905135,
WXPCsQIopsQIHw,70735473,
BNHiZsYn,15410296,
VLoofM,25312125,
mQKBM,73767599,
JbEMvY,97943844,
cMYudMPX,05401337,
vIXwFY,33581972,
iBaKq,73767599,
mIJDLo,98176639,
SWJyatpbHlzSX,76663498,
YtbUcQIVtbFRN,39034886,
GEtCTQBuBxHjLGQ,53917252,
mIJDLo,99830024,
vVjjt,33188302,
DuHTDrfngt,09454694,
SRuKBSBp,04404522,
ahAzaOlgzskYHm,57946462,
OdROrFvLjhfn,33259078,
dyYqHYWn,70335529,
cUngxdbxvBlCMrdn,06124461,
LOqpHQoEJt,97943844,
CidYnE,48012198,
YTXhp,66202564,
lQEfrLg,33188302,
FCRyIZ,12882238,
KEenSyCXfojlJTr,76292299,
yvsxNzBUG,73767599,
rFEMAicf,23046677,
YtbUcQIVtbFRN,06124461,
qLxhsiLTDCGrMCxNIFoJ,48413108,
EIQnqBUjwIxS,95925637,
KPFgmVWDzrQOv,85658852,
CidYnE,88007493,
GtAhsVIaRzrFpRdFyKu,04950728,
ElstokWwsfuj,27470671,
yvsxNzBUG,82377514,
DkgnmDV,07986675,
WXPCsQIopsQIHw,07986675,
dyYqHYWn,65139322,
zBVBeAKZJ,57866978,
WcwMNdMaoqOMTFnkd,14067888,
PdosmDgiHf,60447402,
BNHiZsYn,06124461,
kJcaAxPMYjvHQnDIIe,39034886,
aUUUnZbWGQXgqa,36452039,
vIXwFY,90270578,
tjqMIvvNtxlPYAPEsB,58835719,
kJcaAxPMYjvHQnDIIe,75750295,
afDxrRGvwtyXePEgXeQ,53017568,
pdnra,69299675,
OdROrFvLjhfn,07986675,
KprmPIOxea,88392788,
mQKBM,18412960,
UXrEXjkEpnEKPdGPDos,39034886,
ntwWEKmcbPeGGV,36452039,
lQEfrLg,25161184,
FTVpRPv,64203385,
SRuKBSBp,98176639,
MswgVNVjY,06124461,
cMYudMPX,66202564,
cyBAsWWMXXvUDdt,28262447,
GepHphxGkVGmYJ,53017568,
FSbCFtpGLeu,82377514,
aUUUnZbWGQXgqa,63233203,
KEenSyCXfojlJTr,24636319,
WcwMNdMaoqOMTFnkd,88392788,
ZlTKonSjwG,90270578,
SwUwIrksArHxRbOtsNv,27470671,
afDxrRGvwtyXePEgXeQ,48123822,
rFEMAicf,64148292,
SwUwIrksArHxRbOtsNv,30840125,
GGUvjYZmxSTgxhCa,58605594,
mQKBM,46498204,
pdnra,53917252,
WXPCsQIopsQIHw,33581972,
PdosmDgiHf,64271223,
SwUwIrksArHxRbOtsNv,25312125,
DAhmibabDnJwATEbr,28097191,
QsDhvI,15942854,
SWJyatpbHlzSX,64148292,
GtAhsVIaRzrFpRdFyKu,88007493,
OdROrFvLjhfn,39905135,
diOKL,75938755,
tUXtZFqgoabz,15942854,
GtAhsVIaRzrFpRdFyKu,48012198,
isIlxQggMbzmyWDeS,18412960,
qFZyr,05401337,
GHMrHDaeiC,27831977,
dxCpjqqwUz,79325373,
EXsxJQS,48413108,
GtAhsVIaRzrFpRdFyKu,14067888,
mQKBM,53017568,
ZlTKonSjwG,05401337,
isIlxQggMbzmyWDeS,57253539,
diOKL,82377514,
UXrEXjkEpnEKPdGPDos,14067888,
XRtnbKONdDCKGhO,48413108,
cEqJG,76232530,
hGaNlarkleHyZdogWymi,25926487,
vVjjt,90270578,
GEtCTQBuBxHjLGQ,73767599,
ZlTKonSjwG,58605594,
mUkZaCztpHVIXTV,69299675,
ElstokWwsfuj,54455041,
WcwMNdMaoqOMTFnkd,33188302,
QsDhvI,36594902,
YTXhp,82377514,
FTVpRPv,39905135,
hNfavOCVeivafVmk,64148292,
MswgVNVjY,88392788,
MRnQNysKkV,15936120,
GuAMjsGVN,39905135,
DAhmibabDnJwATEbr,51422376,
hGaNlarkleHyZdogWymi,73767599,
SGoCjsapEP,23046677,
WXPCsQIopsQIHw,18768759,
DkgnmDV,53017568,
zBVBeAKZJ,70735473,
PdosmDgiHf,24636319,
iBaKq,70335529,
tjqMIvvNtxlPYAPEsB,39905135,
pdnra,04950728,
vVjjt,27470671,
MswgVNVjY,24636319,
FTVpRPv,76292299,
VxpLUTXUXt,53917252,
SwUwIrksArHxRbOtsNv,75750295,
XRtnbKONdDCKGhO,11402191,
GtAhsVIaRzrFpRdFyKu,79325373,
ciazPsbeywuBYM,88007493,
bNQVwc,27470671,
EIQnqBUjwIxS,33259078,
ZlTKonSjwG,71536449,
GuAMjsGVN,39034886,
FSbCFtpGLeu,73767599,
UXrEXjkEpnEKPdGPDos,74281364,
heQJVn,28097191,
PIlFxWMCFMgzWYhpebtP,48012198,
SWJyatpbHlzSX,21990741,
JbEMvY,51422376,
XQkoxDNpYnXfX,23046677,
diOKL,26175893,
mUkZaCztpHVIXTV,82377514,
bNQVwc,48012198,
RLukQlrxksjRjaYQjoZz,21990741,
DAhmibabDnJwATEbr,22018482,
qMkSBWbxC,33208712,
cUngxdbxvBlCMrdn,71536449,
PIlFxWMCFMgzWYhpebtP,70735473,
CidYnE,44193819,
KEenSyCXfojlJTr,33208712,
iBaKq,25161184,
hNfavOCVeivafVmk,18412960,
GEtCTQBuBxHjLGQ,75938755,
LgMkLnhFuAet,24636319,
KPFgmVWDzrQOv,82377514,
EIQnqBUjwIxS,09171947,
qzSQTQImakUPY,33188302,
cEqJG,53917252,
GepHphxGkVGmYJ,95170646,
dyYqHYWn,39034886,
MswgVNVjY,14067888,
WcwMNdMaoqOMTFnkd,60447402,
VLoofM,85658852,
GHMrHDaeiC,48012198,
pdnra,57946462,
DAhmibabDnJwATEbr,07986675,
vIXwFY,29318795,
ntwWEKmcbPeGGV,33990841,
MRnQNysKkV,73767599,
VLoofM,04950728,
PdosmDgiHf,34648993,
qLxhsiLTDCGrMCxNIFoJ,28262447,
GHMrHDaeiC,63233203,
GGUvjYZmxSTgxhCa,33188302,
ElstokWwsfuj,71536449,
vIXwFY,76663498,
cyBAsWWMXXvUDdt,25161184,
hNfavOCVeivafVmk,57253539,
MbPHymLleVRzlRyPxzp,12882238,
bjFBxlEu,18412960,
qzSQTQImakUPY,57866978,
iBaKq,14067888,
