Item ID,name,Food or Beer
IT4956,Grimbergen Blonde,B
IT8282,Widdershins Barleywine,B
IT8241,Lucifer,B
IT4298,Bitter,B
IT0217,Winter Warmer,B
IT8499,Winter Welcome 2007-2008,B
IT5819,Oatmeal Stout,B
IT7212,Espresso Porter,B
IT4618,Chocolate Stout,B
IT1961,Hitachino Nest Real Ginger Brew,B
IT8482,JuJu Ginger,B
IT6827,The Kidd Lager,B
IT5664,Imperial Stout,B
IT1224,Oak-Aged Belgian Tripel,B
IT2577,Ultrablonde,B
IT7706,Wiesen Edel Weisse,B
IT1772,Old Foghorn 2001,B
IT8815,Framboise,B
IT6685,Cow Palace Scotch Ale 1998,B
IT1390,Bigfoot 2001,B
IT0237,Bigfoot 2002,B
IT4257,Bigfoot 2003,B
IT0005,Bigfoot 2004,B
IT5256,Bigfoot 2005,B
IT6037,Winter Ale,B
IT3331,Full Moon Winter Ale,B
IT1966,Odell IPA,B
IT8260,Ornery Amber Lager,B
IT8738,Cutthroat Porter,B
IT6999,Maple Nut Brown Ale Ale,B
IT5005,Cocoa Porter,B
IT6178,Jenlain Blonde,B
IT5944,Blonde,B
IT3853,Flemish Primitive Wild Ale (Demon Fish),B
IT0136,Witkap-Pater Tripel,B
IT7259,Winter Cheer,B
IT2534,Canaster Winter Scotch,B
IT8063,16,B
IT5440,Quelque Chose,B
IT9806,Kriek,B
IT6742,BiÃ¨re Darbyste,B
IT9749,Maracaibo Especial,B
IT3226,Flemish Primitive Wild Ale (Pin Head),B
IT9542,Calabaza Blanca,B
IT0918,Porter,B
IT3688,Cardinal Pale Ale,B
IT4504,Zinnebir Xmas,B
IT3299,Bridal Ale 2005,B
IT4355,Zinnebir,B
IT6123,Saison Imperiale,B
IT4830,La Moneuse,B
IT7044,Red Sled Winter Ale,B
IT6619,Christmas Ale 2007,B
IT4502,Equinox Dark Belgian Winter,B
IT5870,Serafijn Christmas Angel,B
IT7003,Obovoid Empirical Stout,B
IT7911,Furious Beer,B
IT6001,Bender Beer,B
IT9150,Oak Aged Ebenezer,B
IT7283,Killer Penguin,B
IT4509,Oatmeal Stout,B
IT5711,Isolation Ale,B
IT3782,Festive Ale 2007,B
IT1712,Bourbon County Stout 2007,B
IT1794,Twelve Days,B
IT1518,Seriously Bad Elf,B
IT5291,Big Shot Seasonal Ale,B
IT3119,God Jul - Winter Ale,B
IT2488,Harvest Ale 2007,B
IT8683,Nut Cracker Ale,B
IT4273,Goosinator Smoked Doppelbock 2007,B
IT6280,Snow Bound Winter Ale,B
IT3417,Warrior IPA,B
IT2264,Petrus Oud Bruin,B
IT7077,Petrus Gouden Tripel Ale,B
IT2226,Petrus Blond Ale,B
IT4230,Petrus Dubbel Bruin Ale,B
IT3972,Petrus Speciale,B
IT6678,Weizengold Hefefein,B
IT0375,Never Summer Ale,B
IT1154,Modern Monks Belgian Blonde,B
IT6396,Grand Cru,B
IT8625,JÃ¶rger WeiÃŸe Hell,B
IT1511,OSB Premium Ale,B
IT6425,Morocco Ale,B
IT5553,Glacier Ale,B
IT4193,Bent Nail IPA,B
IT7879,Espresso Porter,B
IT8065,Harvest Ale,B
IT2567,Stillwater Rye,B
IT5570,Sharptail Pale Ale,B
IT2692,Fat Belly Amber,B
IT0243,Whitetail Wheat,B
IT0332,Sandbagger Gold,B
IT4738,Brunette Nut Brown Ale,B
IT4605,Irish Red,B
IT1750,Belgian Wit,B
IT3206,EOS Hefeweizen,B
IT9485,India Pale Ale,B
IT5351,Winter Ale,B
IT9317,Pride & Joy Mild Ale,B
IT0780,Robert the Bruce Scottish Ale,B
IT3481,Lump of Coal Dark Holiday Stout,B
IT2064,Warm Welcome Nut Browned Ale,B
IT8073,Pendle Witches Brew,B
IT9984,Carnegie Stark-Porter,B
IT1577,Harvest Ale 2002,B
IT4895,Woody Organic IPA,B
IT0931,Adriaan,B
IT0543,Leute Bok Bier,B
IT6728,La Folie Falling Rock,B
IT1976,Oak Aged IPA,B
IT2505,Tikka Gold,B
IT7102,La Divine Double Blond,B
IT1114,La Divine Tripel Amber,B
IT8386,Ename Tripel,B
IT8825,Triple Dipsea Belgian,B
IT4044,Oktoberfest Weizen,B
IT1108,Imperial Hefeweizen,B
IT1799,Triple Exultation Old Ale,B
IT1994,Organic Gingerbread Ale,B
IT3858,Falcon Pale Ale,B
IT4828,Buzzsaw Brown,B
IT0768,Eisenbahn South American Pale Ale (S.A.P.A.),B
IT3823,Geist Bock,B
IT8745,Troll Porter,B
IT2328,Dark Ale,B
