Transaction ID,Bar License,Customer ID,Item ID,Quantity,total
TID2098,BL758,P92752,IT0836,5,15
TID7338,BL337,A67953,IT3007,8,17
TID7362,BL512,U09240,IT3412,9,8
TID5046,BL874,G88124,IT6053,7,25
TID3969,BL263,R00088,IT1436,10,14
TID6627,BL230,L34313,IT8990,6,29
TID0242,BL092,Y59387,IT1518,5,8
TID9592,BL129,G72014,IT1712,10,18
TID3212,BL992,R24912,IT6613,10,24
TID0152,BL179,S21927,IT0594,9,6
TID4595,BL460,C14659,IT0237,7,10
TID2606,BL791,U36996,IT0050,9,15
TID4837,BL499,C42100,IT7090,10,17
TID0670,BL841,I56693,IT7440,10,8
TID2412,BL146,G93490,IT3619,9,11
TID7496,BL614,D13633,IT7252,8,11
TID9742,BL492,E24282,IT7202,9,20
TID8008,BL014,O96588,IT3465,7,28
TID8225,BL316,Y75060,IT3299,5,10
TID4680,BL420,F90916,IT4585,10,11
TID1553,BL652,U98113,IT9912,5,6
TID5722,BL801,T32568,IT9687,8,8
TID2005,BL538,E46183,IT5698,9,10
TID8242,BL364,V75203,IT5841,9,18
TID9634,BL479,Z93268,IT6748,5,29
TID7271,BL471,F44991,IT6736,5,13
TID8791,BL032,G24301,IT3782,9,17
TID0067,BL962,E12642,IT9189,6,16
TID2000,BL836,M82354,IT2251,5,26
TID6944,BL545,F45555,IT2491,8,25
TID8051,BL298,B87561,IT4502,8,8
TID1336,BL655,Q30633,IT1939,8,24
TID5100,BL583,I73694,IT4278,10,27
TID5704,BL189,W08834,IT6093,10,16
TID4075,BL091,V55590,IT0235,6,16
TID1669,BL456,X48445,IT0397,8,18
TID7873,BL444,Z46711,IT2760,9,18
TID7553,BL108,W07167,IT9542,7,25
TID6706,BL683,A42325,IT2311,9,17
TID6049,BL421,W53715,IT6989,9,12
TID4621,BL972,Y26293,IT5362,7,12
TID1777,BL142,Z35776,IT4598,5,27
TID6382,BL659,R78303,IT3972,8,24
TID0270,BL850,J41899,IT2122,6,26
TID9080,BL338,O17310,IT6822,7,10
TID5768,BL907,V72234,IT0131,8,20
TID1819,BL810,D86358,IT3668,7,14
TID2308,BL719,D16871,IT5440,8,10
TID5112,BL302,L45993,IT8425,9,10
TID8509,BL142,S47302,IT1750,10,8
TID8592,BL948,G35452,IT5944,10,19
TID5523,BL357,K27708,IT4257,7,29
