Bill_ID,Transcation_ID,totalCost,tip,time
BIL4291,TID3899,381.36,9,15:41:06
BIL6475,TID8383,501.9352,4,13:35:20
BIL8677,TID9550,656.140664,11,11:07:48
BIL7994,TID7838,798.02051048,5,23:47:59
BIL2941,TID1801,1363.0619462136,2,13:41:46
BIL9651,TID0793,1541.166282448552,11,17:09:09
BIL3967,TID4310,1881.5379222199506,11,15:56:05
BIL3257,TID2317,2154.345576775347,2,15:47:42
BIL9677,TID9276,2418.7997671496214,12,17:48:57
BIL1473,TID6478,2874.0357508500947,12,19:46:09
BIL1549,TID2335,3503.0782534096015,2,19:44:18
BIL6156,TID4669,3940.6137311482735,4,16:22:07
BIL5291,TID4712,4403.566692328653,2,15:00:42
BIL3064,TID1405,4823.6063607916585,8,15:29:04
BIL2521,TID5688,5286.468806047074,15,19:27:54
BIL7412,TID2129,5774.38162247037,13,19:49:51
BIL1906,TID2117,6392.818336043296,12,16:58:56
BIL5437,TID8101,7021.165619566326,15,13:08:04
BIL4261,TID9107,7607.737212935969,2,14:27:36
BIL7769,TID9826,8332.968817841487,14,18:35:35
BIL9381,TID3374,8943.536635090391,8,13:31:35
BIL7672,TID7586,9619.594199546718,4,19:38:44
BIL6170,TID0834,10359.60579351499,11,19:22:01
BIL4152,TID5109,11188.14819906104,6,11:11:08
BIL4318,TID5314,12294.968572995313,8,18:36:55
BIL8004,TID3423,13383.546373104984,15,19:19:31
BIL4558,TID4230,14701.404619222332,14,13:39:26
BIL8674,TID0125,15864.342942567895,14,15:42:53
BIL4891,TID7333,17141.066948547646,10,11:16:00
BIL4816,TID2078,18555.871634945983,2,16:05:53
BIL4940,TID9288,19980.4826493922,8,12:58:26
BIL8273,TID9994,21667.456434849657,8,13:06:47
BIL3916,TID3465,23256.728385289134,3,15:16:13
BIL7214,TID3137,25050.269372259372,4,15:07:09
BIL4804,TID3610,27129.22822831753,13,12:48:31
BIL4533,TID2362,29217.684204299756,15,23:03:23
BIL7339,TID1941,31469.152098600738,4,16:05:21
BIL5559,TID7685,33909.76274550279,12,12:32:43
BIL5131,TID2173,36493.53613768799,10,17:40:13
BIL5185,TID5673,39068.85366732615,9,19:22:25
BIL8220,TID9190,41889.85342403898,7,16:44:25
BIL3744,TID2739,44851.403163721705,10,17:30:16
BIL3955,TID1251,48173.551385182225,6,23:13:14
BIL2425,TID6155,51703.079982144984,14,11:51:43
BIL6351,TID0498,55493.72558089513,12,11:12:12
BIL1573,TID8692,59528.80637155779,5,19:22:42
BIL3685,TID4992,64170.55281756684,5,11:21:51
BIL5765,TID0949,69093.72151479652,15,12:38:05
BIL1207,TID5338,74165.47202083227,3,18:50:51
BIL4165,TID6876,79531.69506229053,12,16:40:23
BIL9899,TID9168,85118.54371665086,10,12:34:45
BIL4409,TID8694,91240.64177681642,14,11:16:11
BIL7263,TID7965,97702.89670119357,8,16:19:23
BIL3834,TID6133,104719.43947027712,4,19:26:38
BIL2054,TID0817,112155.52023319653,3,18:45:41
BIL5617,TID7830,120081.23664952029,1,16:27:43
BIL3537,TID5522,128811.29321498671,13,13:24:35
BIL5317,TID2760,137948.0137400358,14,13:17:22
BIL5510,TID1656,147881.0147018383,7,14:58:41
