Transaction_ID,barLicense,Item_ID,Cutsomer_ID,Quantity,Price
TID3899,BL777,IT4430,Q83014,4,28
TID8383,BL618,IT2122,J14226,4,28
TID9550,BL499,IT2190,V63891,6,54
TID7838,BL639,IT1682,W08834,6,30
TID1801,BL878,IT6648,A59865,4,24
TID0793,BL937,IT6178,Y64445,6,36
TID4310,BL937,IT2488,N42518,6,54
TID2317,BL127,IT4789,X45725,2,14
TID9276,BL530,IT7044,I71444,1,9
TID6478,BL370,IT0677,E03190,6,60
TID2335,BL584,IT5619,J71009,6,48
TID4669,BL713,IT3007,U52113,2,18
TID4712,BL941,IT9600,O67480,2,20
TID1405,BL307,IT4956,J41899,5,30
TID5688,BL636,IT0375,U87044,4,36
TID2129,BL504,IT4273,T90108,5,50
TID2117,BL962,IT3366,S16217,2,12
TID8101,BL495,IT9469,F47115,5,25
TID9107,BL744,IT1712,Y61954,2,10
TID9826,BL162,IT2920,W51293,3,30
TID3374,BL948,IT6827,X63550,1,7
TID7586,BL928,IT5101,A09157,4,36
TID0834,BL475,IT8952,V13001,2,14
TID5109,BL937,IT2488,G35452,5,45
TID5314,BL136,IT0656,R87625,4,40
TID3423,BL683,IT1530,L98809,4,40
TID4230,BL542,IT0630,M65791,2,20
TID0125,BL296,IT8282,Q59910,1,7
TID7333,BL689,IT7003,O24131,6,48
TID2078,BL036,IT5925,E88244,3,18
TID9288,BL134,IT3668,X23323,4,40
TID9994,BL486,IT7676,E67949,3,27
TID3465,BL526,IT0838,P64792,3,30
TID3137,BL719,IT6989,G44112,1,10
TID3610,BL544,IT4474,H45104,6,36
TID2362,BL288,IT1536,Z39704,6,54
TID1941,BL004,IT3327,A00188,1,10
TID7685,BL475,IT1969,F60732,3,30
TID2173,BL259,IT0422,N99601,5,30
TID5673,BL805,IT2674,U24768,1,7
TID9190,BL146,IT5863,Q90535,2,16
TID2739,BL109,IT1390,W67694,5,25
TID1251,BL024,IT2505,Z46827,4,40
TID6155,BL264,IT6077,J07395,1,10
TID0498,BL242,IT9171,O56852,6,48
TID8692,BL102,IT1840,A43633,3,18
TID4992,BL660,IT7741,A12422,4,20
TID0949,BL324,IT8582,D72562,5,50
TID5338,BL982,IT6680,D09096,2,10
TID6876,BL698,IT1436,Q29436,3,15
TID9168,BL923,IT8834,O23277,3,21
TID8694,BL536,IT7834,E76840,3,30
TID7965,BL047,IT3164,F26857,1,7
TID6133,BL921,IT7252,T79430,5,50
TID0817,BL293,IT0005,Q66457,3,30
TID7830,BL842,IT7341,N74202,5,30
TID5522,BL831,IT9853,P66883,1,10
TID2760,BL842,IT8244,O31473,2,20
TID1656,BL797,IT3342,Z55378,1,9
TID3773,BL757,IT6577,H07507,6,54
TID9707,BL950,IT2226,P41987,3,27
TID3835,BL125,IT8076,V84511,2,18
TID0502,BL895,IT5611,S74628,3,15
TID6174,BL616,IT2577,B41610,5,50
TID1076,BL022,IT2226,A19012,4,32
TID6083,BL278,IT2134,T51891,6,54
TID4156,BL981,IT0623,F54958,2,16
TID3733,BL136,IT8360,R92002,6,42
TID2854,BL064,IT3331,R25232,6,54
TID6179,BL868,IT2860,F88303,6,30
TID8497,BL590,IT6001,S63808,3,30
TID2905,BL357,IT4278,H87655,1,10
TID1634,BL097,IT1772,X43078,6,42
TID1198,BL020,IT3069,N35086,4,24
TID0258,BL530,IT6077,A19912,6,54
TID5692,BL962,IT3366,E66616,2,12
TID2111,BL831,IT0397,Q89893,3,18
TID4506,BL293,IT0005,H61426,5,50
TID2943,BL049,IT1814,G87257,6,42
TID4339,BL668,IT3227,M81246,5,25
TID7558,BL564,IT8996,X00648,4,28
TID7710,BL109,IT0540,F85068,2,10
TID8697,BL877,IT7441,N04287,6,60
TID5494,BL698,IT1436,W63575,1,5
TID9717,BL810,IT6906,Q43691,2,18
TID8978,BL948,IT1317,O72991,4,36
TID3103,BL506,IT9115,R58673,5,35
TID5118,BL364,IT7212,G46355,3,15
TID9497,BL868,IT8582,Z47822,2,10
TID0632,BL134,IT3974,I21282,3,27
TID8568,BL374,IT9371,J74189,5,30
TID2135,BL880,IT2778,N46242,4,24
TID8831,BL230,IT8996,Y74618,2,14
TID7672,BL145,IT7715,J26788,3,24
TID6253,BL393,IT4325,Q52558,2,16
TID4044,BL031,IT6162,K96149,5,25
TID8415,BL830,IT9328,E04153,6,60
TID3497,BL515,IT1775,Y86887,6,60
TID6108,BL395,IT1799,O35594,6,30
TID9664,BL623,IT3327,V80473,3,21
TID4407,BL146,IT6134,K77399,1,6
TID9001,BL005,IT5550,J16610,5,40
TID2885,BL486,IT2554,M42813,4,28
TID9477,BL923,IT8952,H58311,4,32
TID4864,BL481,IT4830,S54003,2,16
TID8247,BL093,IT1593,S15517,2,18
TID3503,BL665,IT0623,O31545,4,40
TID5123,BL555,IT4430,E46042,4,28
TID0042,BL127,IT4474,A78348,6,36
TID8019,BL541,IT6742,Y18279,2,18
