barName,barLicense,State of Residence,Hours of Op
BURGER KING #1950,BL634,DE,7AM--11PM
BUSTER'S PUB,BL665,TN,7AM--11PM
DUNKIN DONUTS/BASKIN ROBBINS,BL636,PA,8AM--11PM
BERTHA'S RESTAURANT,BL532,OK,10AM--11PM
ARAMARK FHC SPORTS  (MAIN KITCHEN),BL173,MO,9AM--11PM
CATON HOUSE RESTAURANT,BL696,NY,6AM--11PM
CERIELLO FINE FOODS,BL151,OK,7AM--12PM
B.G.'S PUB INCORPORATED,BL166,AR,8AM--12PM
BEDROCK,BL538,OR,6AM--12PM
ESPN  ZONE,BL805,NH,8AM--12PM
CORKS,BL331,UT,8AM--11PM
CAFå ON THE SQUARE  LLC,BL878,OK,6AM--11PM
DRIFTERS RAW BAR & GRILL,BL781,ME,6AM--12PM
BLUE PARROT,BL665,NH,8AM--12PM
CHRIS LIQUOR & GRILL,BL683,DE,9AM--11PM
743 S. MONTFORD INC.,BL042,GA,9AM--11PM
BEACH  BUMS CAFå,BL665,KS,8AM--12PM
BRENDAL  INC.,BL899,MS,8AM--11PM
EICHENKRANZ RESTAURANT,BL801,MI,8AM--12PM
FIRESIDE NORTH LIQUORS,BL639,DC,8AM--12PM
ANGELS ROCK BAR,BL380,MO,10AM--12PM
CAZBAR,BL665,MO,7AM--12PM
BACKSTRETCH SALOON,BL058,WY,6AM--12PM
BOP BRICK OVEN PIZZA,BL103,IL,10AM--12PM
CHUNG MEE RESTAURANT,BL893,NH,9AM--12PM
CLUB CLIMAX,BL336,OR,10AM--12PM
DESERT INN,BL904,IA,7AM--11PM
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,BL616,MA,7AM--12PM
FIELDS RIB HOUSE,BL119,OR,9AM--12PM
CRAZY LIL'S,BL623,NE,7AM--12PM
ARAMARK FHC SPORTS (BAR 210),BL300,CT,7AM--12PM
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,BL585,WY,7AM--11PM
ARIZONA BAR & GRILL,BL164,CO,9AM--12PM
GENTLEMEN OF CHARISMA,BL544,VA,8AM--11PM
BROOKLYN PLEASURE CLUB,BL263,AL,9AM--11PM
CRAZY LIL'S,BL137,MO,6AM--12PM
aramark at citi bank baltimore,BL545,WV,7AM--12PM
B-WATCH,BL770,AL,9AM--11PM
CHEF PAOLINO,BL963,AZ,9AM--11PM
BERGER'S TAVERN  INCORPORATED,BL660,OR,8AM--12PM
FIVE GUYS @ BREWERS HILL,BL462,WI,9AM--11PM
BREWER'S HILL PUB & GRILL,BL982,NH,9AM--11PM
CHINA CHEF,BL631,LA,8AM--11PM
CANTON'S PORTSIDE TAVERN,BL049,CA,6AM--12PM
CLUB ONE,BL545,NY,10AM--11PM
EVERYDAY'S LLC,BL220,CA,7AM--12PM
BALTIMORE ESTONIAN SOCIETY,BL189,CT,10AM--11PM
