barLicense,Item ID,Item Price at Bar,Inventory of Item
BL660,IT4474,5.0,703.0
BL472,IT0397,11.0,779.0
BL780,IT7619,7.0,855.0
BL571,IT5234,10.0,844.0
BL937,IT1859,11.0,581.0
BL636,IT3378,9.0,870.0
BL698,IT0836,7.0,695.0
BL662,IT2840,10.0,594.0
BL229,IT2488,7.0,953.0
BL852,IT0769,11.0,972.0
BL655,IT0131,7.0,839.0
BL524,IT4951,10.0,731.0
BL250,IT5803,10.0,751.0
BL962,IT5801,10.0,527.0
BL999,IT7077,10.0,596.0
BL538,IT8930,10.0,618.0
BL834,IT0769,9.0,932.0
BL137,IT3227,9.0,550.0
BL797,IT8842,8.0,778.0
BL591,IT4004,8.0,627.0
BL218,IT1969,10.0,756.0
BL834,IT5884,10.0,706.0
BL340,IT6827,6.0,650.0
BL475,IT7715,10.0,920.0
BL433,IT5628,7.0,566.0
BL655,IT1521,7.0,993.0
BL713,IT9444,6.0,821.0
BL471,IT2591,11.0,994.0
BL492,IT7039,8.0,562.0
BL914,IT1521,11.0,999.0
BL980,IT4153,9.0,989.0
BL125,IT2940,9.0,774.0
BL070,IT7608,10.0,552.0
BL357,IT5863,8.0,557.0
BL763,IT6678,10.0,772.0
BL486,IT3206,6.0,982.0
BL665,IT9599,8.0,637.0
BL492,IT7090,10.0,810.0
BL999,IT3533,8.0,785.0
BL001,IT0217,5.0,561.0
BL506,IT8286,11.0,830.0
BL661,IT5440,7.0,657.0
BL184,IT8738,8.0,719.0
BL614,IT7230,5.0,867.0
BL933,IT1114,6.0,600.0
BL780,IT7319,6.0,767.0
BL541,IT7737,10.0,723.0
BL102,IT7307,5.0,510.0
BL034,IT3735,5.0,502.0
BL307,IT5459,6.0,918.0
BL962,IT7421,9.0,972.0
BL636,IT7421,7.0,632.0
BL657,IT3818,8.0,831.0
BL999,IT7619,6.0,542.0
BL999,IT1812,7.0,753.0
BL058,IT4517,7.0,785.0
BL937,IT5334,5.0,774.0
BL982,IT5005,8.0,938.0
BL293,IT0922,10.0,806.0
BL530,IT8922,9.0,753.0
BL657,IT5005,9.0,920.0
BL033,IT1473,6.0,925.0
BL293,IT4256,11.0,676.0
BL461,IT2103,9.0,849.0
BL981,IT9471,10.0,883.0
BL114,IT4742,5.0,774.0
BL504,IT9749,8.0,700.0
BL215,IT9471,8.0,818.0
BL698,IT3299,8.0,613.0
BL862,IT7419,8.0,893.0
BL114,IT3214,9.0,835.0
BL000,IT9600,10.0,602.0
BL618,IT5228,7.0,566.0
BL370,IT6544,10.0,885.0
BL668,IT0082,6.0,805.0
BL611,IT4370,8.0,844.0
BL852,IT7834,9.0,911.0
BL758,IT8286,8.0,633.0
BL231,IT6093,9.0,844.0
BL194,IT3858,7.0,762.0
BL377,IT3378,7.0,530.0
BL383,IT7421,6.0,596.0
BL618,IT5700,8.0,538.0
BL426,IT7507,6.0,979.0
BL544,IT4370,7.0,965.0
BL461,IT4474,9.0,818.0
BL359,IT1662,8.0,890.0
BL457,IT1969,5.0,831.0
BL499,IT1154,7.0,516.0
BL484,IT9020,8.0,796.0
BL874,IT1057,9.0,803.0
BL810,IT7421,9.0,730.0
BL874,IT9834,6.0,980.0
BL930,IT2969,8.0,783.0
BL076,IT8499,9.0,512.0
BL893,IT8182,11.0,549.0
BL982,IT6728,6.0,903.0
BL426,IT3965,5.0,923.0
BL480,IT2488,10.0,785.0
BL162,IT8485,8.0,904.0
BL564,IT2488,8.0,979.0
BL386,IT9282,6.0,891.0
BL057,IT1481,7.0,667.0
BL468,IT1969,6.0,609.0
BL676,IT4919,6.0,964.0
BL532,IT1939,5.0,550.0
BL174,IT7945,8.0,958.0
BL937,IT0003,9.0,926.0
BL504,IT5884,10.0,511.0
BL652,IT7230,8.0,714.0
BL322,IT6396,10.0,934.0
BL558,IT6827,9.0,912.0
BL512,IT0125,10.0,527.0
BL491,IT2145,7.0,723.0
BL395,IT9339,5.0,618.0
BL999,IT2374,9.0,550.0
BL534,IT8818,8.0,957.0
BL173,IT6613,6.0,637.0
BL657,IT7741,7.0,683.0
BL665,IT2954,7.0,910.0
BL800,IT3075,7.0,920.0
BL506,IT0078,9.0,529.0
BL028,IT4855,8.0,779.0
BL026,IT7421,7.0,741.0
BL407,IT5944,7.0,789.0
BL070,IT0580,5.0,982.0
BL047,IT1909,7.0,541.0
BL732,IT4230,6.0,561.0
BL031,IT3972,9.0,627.0
BL868,IT1370,6.0,964.0
BL834,IT1317,5.0,826.0
BL293,IT0769,6.0,979.0
BL922,IT9042,6.0,597.0
BL421,IT7202,9.0,876.0
BL950,IT5386,8.0,826.0
BL622,IT2534,10.0,772.0
BL577,IT0836,10.0,649.0
BL765,IT5362,9.0,632.0
BL948,IT4108,10.0,883.0
BL688,IT3305,5.0,618.0
BL013,IT3314,6.0,604.0
BL830,IT9042,9.0,564.0
BL302,IT0599,10.0,556.0
BL402,IT7814,7.0,822.0
BL338,IT4862,11.0,600.0
BL719,IT0851,6.0,928.0
